NETWERK 1
NODES 84433
0 5207 -5557
1 5213 -5569
2 5212 -5585
3 5212 -5600
4 5212 -5615
5 5211 -5630
6 5212 -5645
7 5211 -5660
8 5210 -5674
9 5209 -5689
10 5209 -5705
11 5209 -5720
12 5208 -5735
13 5208 -5750
14 5207 -5765
15 5207 -5781
16 5206 -5796
17 5206 -5811
18 5205 -5826
19 5205 -5842
20 5205 -5857
21 5204 -5872
22 5217 -5875
23 5231 -5874
24 5232 -5859
25 5232 -5844
26 5233 -5829
27 5233 -5814
28 5234 -5798
29 5234 -5783
30 5235 -5768
31 5235 -5753
32 5235 -5737
33 5236 -5722
34 5236 -5707
35 5237 -5692
36 5237 -5676
37 5238 -5661
38 5238 -5646
39 5239 -5631
40 5239 -5615
41 5239 -5600
42 5240 -5585
43 5240 -5570
44 5246 -5557
45 5234 -5557
46 5219 -5557
47 6590 3883
48 6588 3898
49 6587 3914
50 6586 3929
51 6585 3944
52 6584 3959
53 6583 3974
54 6582 3990
55 6580 4005
56 6579 4020
57 6578 4035
58 6576 4050
59 6575 4065
60 6574 4081
61 6573 4096
62 6572 4111
63 6570 4126
64 6569 4141
65 6568 4157
66 6566 4172
67 6565 4187
68 6563 4202
69 6562 4217
70 6561 4232
71 6559 4248
72 6558 4263
73 6556 4278
74 6547 4288
75 6533 4283
76 6533 4269
77 6534 4254
78 6536 4239
79 6537 4223
80 6538 4208
81 6540 4193
82 6541 4178
83 6542 4163
84 6544 4147
85 6545 4132
86 6547 4117
87 6548 4102
88 6549 4087
89 6550 4072
90 6552 4056
91 6553 4041
92 6554 4026
93 6555 4011
94 6557 3996
95 6558 3980
96 6559 3965
97 6560 3950
98 6561 3935
99 6562 3920
100 6563 3904
101 6565 3889
102 6566 3874
103 6567 3859
104 6571 3847
105 6587 3847
106 6591 3857
107 6590 3872
108 6601 3694
109 6604 3709
110 6603 3724
111 6601 3739
112 6600 3754
113 6598 3769
114 6597 3784
115 6596 3800
116 6594 3815
117 6586 3822
118 6570 3822
119 6571 3808
120 6572 3793
121 6573 3777
122 6575 3762
123 6576 3747
124 6577 3732
125 6579 3717
126 6580 3701
127 6585 3689
128 6599 3693
129 -2769 7267
