NETWERK 1
NODES 15668
0 776 -118
1 709 -115
2 762 -113
3 732 -108
4 792 -104
5 752 -102
6 1431 -96
7 1447 -92
8 1430 -90
9 1433 -90
10 1462 -89
11 1469 -88
12 715 -87
13 1436 -87
14 1451 -87
15 1460 -85
16 1435 -84
17 1444 -80
18 1460 -78
19 1463 -78
20 591 -75
21 1454 -75
22 566 -74
23 1446 -73
24 1459 -73
25 683 -71
26 575 -70
27 767 -70
28 1453 -70
29 597 -69
30 572 -67
31 583 -67
32 580 -65
33 589 -61
34 587 -58
35 2635 -58
36 2626 -57
37 2544 -56
38 2553 -56
39 598 -52
40 595 -50
41 592 -47
42 2105 -47
43 2111 -47
44 604 -46
45 2029 -45
46 590 -44
47 628 -44
48 758 -44
49 2056 -44
50 602 -43
51 599 -41
52 2058 -41
53 597 -38
54 709 -36
55 1484 -33
56 1511 -33
57 386 -32
58 1427 -32
59 1445 -32
60 1366 -31
61 62 -30
62 67 -30
63 1339 -30
64 1513 -30
65 817 -28
66 793 -27
67 2751 -27
68 2768 -27
69 1148 -26
70 1168 -26
71 2029 -25
72 2058 -25
73 1071 -24
74 1096 -24
75 1011 -23
76 1020 -23
77 1032 -23
78 375 -21
79 943 -21
80 545 -20
81 914 -20
82 421 -19
83 2675 -19
84 2705 -19
85 50 -18
86 252 -16
87 910 -15
88 2504 -15
89 82 -14
90 2011 -14
91 2473 -14
92 1973 -13
93 1513 -12
94 172 -11
95 1485 -11
96 1886 -11
97 1894 -11
98 364 -10
99 1826 -10
100 1846 -10
101 2112 -9
102 2132 -9
103 2627 -9
104 410 -8
105 2330 -8
106 2345 -8
107 2371 -8
108 2554 -8
109 2570 -8
110 2305 -7
111 241 -6
112 480 -6
113 911 -6
114 1168 -6
115 1195 -6
116 1741 -6
117 1760 -6
118 2059 -6
119 1704 -5
120 1722 -5
121 2016 -5
122 35 -4
123 1323 -4
124 1627 -4
125 1647 -4
126 1667 -4
127 1685 -4
128 1295 -3
129 1605 -3
130 2396 -2
131 2751 -2
132 1323 -1
133 1340 -1
134 2371 -1
135 2676 -1
136 2706 -1
137 2721 -1
138 67 0
139 161 0
140 794 0
141 818 0
142 1485 0
143 2787 0
144 98 1
145 354 1
146 1446 1
147 1447 1
148 1466 1
149 1826 1
150 2016 1
151 1428 2
152 1797 2
153 1974 2
154 399 3
155 571 3
156 1428 3
157 2213 3
158 2504 3
159 569 4
160 1410 4
161 2166 4
162 2181 4
163 2473 4
164 230 5
165 444 5
166 1366 5
167 1372 5
168 2133 5
169 2781 5
170 2782 5
171 98 6
172 514 6
173 2721 6
174 275 7
175 1021 7
176 1033 7
177 1561 7
178 1590 7
179 1826 7
180 2451 7
181 1097 8
182 2068 8
183 2106 8
184 2456 8
185 2724 8
186 1072 9
187 21 10
188 464 10
189 1323 10
190 1514 10
191 2283 10
192 2443 10
193 150 11
194 1296 11
195 1485 11
196 2231 11
197 2246 11
198 2702 11
199 343 12
200 866 12
201 885 12
202 1281 12
203 1958 12
204 2213 12
205 2371 12
206 2408 12
207 2459 12
208 196 13
209 841 13
210 1191 13
211 1240 13
212 1895 13
213 2059 13
214 2371 13
215 53 14
216 388 14
217 768 14
218 793 14
219 805 14
220 1012 14
221 1149 14
222 1159 14
223 1207 14
224 1561 14
